l2id,nj,chipct,mdist,lntotvar,olsrsvar,mdrsvar,ebintrcp,ebagec,ebagecsq,olintrcp,olagec,olagecsq,fvintrcp,fvagec,fvagecsq,ecintrcp,ecagec,ecagecsq,pv00,pv10,pv11,pv20,pv21,pv22,pvc00,pvc10,pvc11,pvc20,pvc21,pvc22
10175,4,5.54475061785166,1.933003135158,-.54900954822452,4.54965341248881E-006,7.94976816865795E-005,-.0150956812670017,-.000144182243928759,.000365802814568347,-.0166454991502477,.0199046483820478,-.0077395238621016,.0466530398788307,-.00024342858888023,.000313711105005685,.031557358611829,-.000387610832808989,.000679513919574032,.000125855633415946,-2.61580345614057E-006,1.05585425591821E-005,-2.99701171958743E-006,-6.59482795053625E-007,1.93310615443578E-007,.000120295173112594,-3.09391566785561E-006,1.08245219198435E-005,-2.86988725119491E-006,-6.59191600382563E-007,2.03003880509417E-007
10176,3,-1E+036,-1E+036,-.346131690349739,-1E+036,-1E+036,.0234754492686015,.00250814719698465,-.000672311091837425,.181032579659644,-.132341618339304,.0246925374869443,.0466530398788307,-.00024342858888023,.000313711105005685,.0701284891474322,.00226471860810443,-.00035859998683174,.000219006277590692,-1.20226766165539E-005,9.63103039877374E-006,-4.91224839283879E-006,-4.14757390794425E-007,2.31639095500356E-007,.000217365880335959,-1.30418502709619E-005,9.83264652792483E-006,-4.91743904288054E-006,-4.06353397562455E-007,2.45787746195423E-007
10177,3,-1E+036,-1E+036,-.34632223163512,-1E+036,-1E+036,-.0215780652689485,-.000943036904481847,.000582274488598408,-.0390079095171779,-.0578362861211638,.0625461562773912,.0466530398788307,-.00024342858888023,.000313711105005685,.0250749746098822,-.00118646549336208,.000895985593604093,.000142544104140213,2.04584321860856E-006,1.19638243443465E-005,-3.59979710672682E-006,-8.42981151892818E-007,2.16325731113827E-007,.000137442515543417,1.79178158219621E-006,1.23203901458411E-005,-3.47473581467825E-006,-8.48578122436148E-007,2.25680428816174E-007
10180,2,-1E+036,-1E+036,.000160394227430651,-1E+036,-1E+036,-.00726655851186924,-.00103659605183549,.000213764178323604,-1E+036,-1E+036,-1E+036,.0466530398788307,-.00024342858888023,.000313711105005685,.0393864813669614,-.00128002464071572,.000527475283329289,.000293474448092855,-1.13552611235135E-005,9.81710126046156E-006,-6.8628031530087E-006,-4.34585782937745E-007,2.82734507752792E-007,.000294723267156394,-1.23986092001524E-005,1.00327447450011E-005,-6.96313067826538E-006,-4.24473570543423E-007,2.99841023862457E-007
10181,5,6.17733131515647,2.80890426269346,-.692854207655985,-.346541829405916,-1E+036,.0200209971014398,-.00210529774386726,-.000290536869647636,.0514581612236394,.0259919931058038,.00516465269567016,.0466530398788307,-.00024342858888023,.000313711105005685,.0666740369802705,-.00234872633274749,2.31742353580491E-005,.000184737042237211,1.84294662683826E-005,7.02060420933481E-006,-5.79333735397745E-006,-7.91268695787398E-007,2.57527965773558E-007,.000181087121533544,1.89437319886051E-005,7.08599388391745E-006,-5.75830722186142E-006,-7.78650955952399E-007,2.6617182515085E-007
10183,3,-1E+036,-1E+036,-.345941633461339,-1E+036,-1E+036,.00530327263889709,-.00227295142092183,7.02276595725363E-005,-.231081091642505,-.146532082599344,-.0199671757289236,.0466530398788307,-.00024342858888023,.000313711105005685,.0519563125177278,-.00251638000980206,.000383938764578221,.000298618258882201,3.09771837479101E-005,9.76220894265521E-006,-9.57558978934785E-006,-1.33451332638985E-006,3.9490345446182E-007,.000299269180431774,3.20412291817051E-005,9.97026067296726E-006,-9.71714615487751E-006,-1.35469336371618E-006,4.11901497808216E-007
10184,3,-1E+036,-1E+036,-.344218522624239,-1E+036,-1E+036,-.0470038215659465,1.54684997549352E-005,.00110565407086653,-.118857282705367,-.0534393812172279,-.00691620099322537,.0466530398788307,-.00024342858888023,.000313711105005685,-.000350781687115831,-.000227960089125295,.00141936517587221,.000260389945615356,1.45925853500271E-005,5.84726461353233E-006,-7.33425103485504E-006,-5.86759433521567E-007,2.77195612043083E-007,.000259631196497667,1.48679456831267E-005,5.85185291574463E-006,-7.35790855886992E-006,-5.58276946243052E-007,2.85643311129015E-007
10185,3,-1E+036,-1E+036,-.346557618781261,-1E+036,-1E+036,.00104928667296446,-.00280260181773913,-8.3602295979213E-005,-.0191770377004842,.00122530747627943,-.000490284731377431,.0466530398788307,-.00024342858888023,.000313711105005685,.0477023265517951,-.00304603040661936,.000230108809026472,.000218387671124695,-1.72439537466213E-006,8.68399686755697E-006,-4.24666704434153E-006,-7.45614372874184E-007,1.92582314489184E-007,.000215066638680151,-1.87338803696539E-006,8.75564021837558E-006,-3.9753981685528E-006,-7.88989173580131E-007,1.90104211331601E-007
10186,3,-1E+036,-1E+036,-.346538402420164,-1E+036,-1E+036,.0123046726651705,.000425065686254278,-.000324476881437629,.0225713481977469,.00275451614690292,-.00257796326051916,.0466530398788307,-.00024342858888023,.000313711105005685,.0589577125440012,.000181637097374048,-1.07657764319438E-005,.000157433030558717,2.19439177232657E-006,1.0357234563864E-005,-4.12200011854612E-006,-7.5594124103842E-007,2.27583983125416E-007,.000153053452840657,1.93444513260002E-006,1.06080044019862E-005,-4.0442458105855E-006,-7.59249970711973E-007,2.38867831191621E-007
10187,5,4.72886774282031,.619889703165338,-.692701247313063,-.346295277962742,-.346436339015097,.00461291873955408,.000864896796955035,-.000157262755414156,-.00155359412264681,.00208475930273402,.00288441021831398,.0466530398788307,-.00024342858888023,.000313711105005685,.0512659586183848,.000621468208074805,.000156448349591529,.000105227987348363,4.29439682887001E-007,1.00262977446234E-005,-2.70207400574955E-006,-6.86597850193667E-007,1.87443703852838E-007,9.8844556859089E-005,1.12833919795821E-007,1.02595652456574E-005,-2.56102808211304E-006,-6.86588712433858E-007,1.96688169981663E-007
