l2id,nj,chipct,mdist,lntotvar,olsrsvar,mdrsvar,ebintrcp,ebinvage,olintrcp,olinvage,fvintrcp,fvinvage,ecintrcp,ecinvage,pv00,pv10,pv11,pvc00,pvc10,pvc11
10201,5,5.07014993359984,2.81853850430536,-.691401046284715,-.54773684019369,-.548221173567494,.00540230496996609,-.161669898585659,.00274607781779404,.85408042873205,.00483719291477228,.0980279481150505,.0102394978847384,-.0636419504706086,.000182825925128587,-.0057342843777586,.1825778627569,.000185867486492018,-.00587573646058974,.20214072645579
10202,4,-1E+036,-1E+036,-.548217106365725,-.346133574986148,-.345878324214322,-.0262330068266974,.821070679890202,-.0729207233497123,-5.2838038575594,.00483719291477228,.0980279481150505,-.0213958139119251,.919098628005253,9.97977162575125E-005,-.00311714913183664,.100107018245928,9.90191103575297E-005,-.00304971194711477,.110550444828922
10204,2,-1E+036,-1E+036,.000292642490152601,-1E+036,-1E+036,.00901345952920278,-.282892710127045,-.0908859992194294,-13.0879398591298,.00483719291477228,.0980279481150505,.0138506524439751,-.184864762011995,.000124466454402315,-.00388597261980816,.124067550981325,.000125048594045144,-.00384165821441036,.134624932363427
10206,2,-1E+036,-1E+036,9.06951117682001E-005,-1E+036,-1E+036,-.00618532240119331,.193756225392384,-.0471731292662233,-6.57734342635606,.00483719291477228,.0980279481150505,-.00134812948642103,.291784173507434,.000136680588865961,-.00427244525489788,.136295096228686,.000137798851700381,-.00426521422476015,.148652185553211
10211,1,-1E+036,-1E+036,-1E+036,-1E+036,-1E+036,-.00172493701811792,.0531035963717072,-1E+036,-1E+036,.00483719291477228,.0980279481150505,.00311225589665436,.151131544486758,.000220772393796176,-.00691381786925169,.21925841881115,.000225979475116174,-.00707402544304076,.238061980591857
10215,2,-1E+036,-1E+036,.00384900644514465,-1E+036,-1E+036,-.0153887819459819,.481879051492846,-.148285515203937,13.9949871359608,.00483719291477228,.0980279481150505,-.0105515890312096,.579906999607896,.00017612488646391,-.00551716614726026,.175570291192886,.000179029625644714,-.00561395300082982,.192674995418276
10216,1,-1E+036,-1E+036,-1E+036,-1E+036,-1E+036,.000793270997303413,-.0248483466439091,-1E+036,-1E+036,.00483719291477228,.0980279481150505,.00563046391207569,.0731796014711414,.000175302105219232,-.00548365651002138,.174279948966505,.000178355374769425,-.00554530813659605,.189054365864412
10217,1,-1E+036,-1E+036,-1E+036,-1E+036,-1E+036,.00563677258994633,-.173275989402937,-1E+036,-1E+036,.00483719291477228,.0980279481150505,.0104739655047186,-.0752480412878861,.000221770777738606,-.00694500387159889,.220232336563747,.000227030159316205,-.00710643624716247,.239059098750754
10220,2,-1E+036,-1E+036,9.90112039992173E-005,-1E+036,-1E+036,-.000518192244929638,.0166073933625282,-.064679856599397,2.51759840379588,.00483719291477228,.0980279481150505,.00431900066984264,.114635341477579,.000225812245763638,-.00707218185365607,.224225582170481,.000231257376384307,-.00724316062116499,.243376955707372
10221,4,4.10352108296603,.858335303187935,-.54763460802773,-.345248283922213,-.345490028964798,-.00334151480281696,.105585885132684,-.0204811279199326,1.69482649210679,.00483719291477228,.0980279481150505,.00149567811195533,.203613833247735,.000150503920367132,-.00471950841315954,.150733711810197,.00015197516547449,-.00479664860272231,.167972852294289
10222,1,-1E+036,-1E+036,-1E+036,-1E+036,-1E+036,-.00279688139422656,.0875115751622214,-1E+036,-1E+036,.00483719291477228,.0980279481150505,.00204031152054572,.185539523277272,.000183035842709595,-.0057276052256704,.181974499589273,.000186440719370622,-.00580914006392467,.197649037059806
10223,4,4.52716752541638,1.7849392322827,-.548346538151882,-.346341359256189,-.345899916907616,.0063517288553101,-.202633350549314,.0467296444438713,-1.78675279486437,.00483719291477228,.0980279481150505,.0111889217700824,-.104605402434263,.000200783041393821,-.00628194387867977,.199259868049179,.000205123210880713,-.00638549176031607,.215079360308669
10226,2,-1E+036,-1E+036,3.1562725558981E-005,-1E+036,-1E+036,-.00150001445610644,.0442095440033463,-.0279688030563805,.399980298148468,.00483719291477228,.0980279481150505,.00333717845866584,.142237492118397,.000216247312013497,-.00676467451328839,.214341453011009,.000221407377608821,-.00688530263850325,.230570070354182
10230,1,-1E+036,-1E+036,-1E+036,-1E+036,-1E+036,-.00278681396448593,.086588339906807,-1E+036,-1E+036,.00483719291477228,.0980279481150505,.00205037895028635,.184616288021858,.000209165855125976,-.00655009449297311,.207861839755734,.000213793228466285,-.00669097633315377,.226040945584478
10235,1,-1E+036,-1E+036,-1E+036,-1E+036,-1E+036,.00159187967889579,-.0470975384758169,-1E+036,-1E+036,.00483719291477228,.0980279481150505,.00642907259366807,.0509304096392336,.000229625685832386,-.00718880487141699,.22779604733406,.00023533453546186,-.00735309168173417,.246332133711705
10241,6,3.65304273701935,.449476348495949,-.804570187258454,-.692998981799069,-.693028221127171,-.00679976471775472,.2125435368198,-.0116323378840772,-.166567649983136,.00483719291477228,.0980279481150505,-.00196257180298244,.31057148493485,8.6126907466984E-005,-.00269185196343487,.0868750760129021,8.45710965639177E-005,-.00261492276140497,.0974700164293531
10248,3,-1E+036,-1E+036,-.346230460338107,2.04707756395721E-005,.000176163483173302,-.00236646377082599,.0738159816212543,-.0285067803499685,-5.91277760176822,.00483719291477228,.0980279481150505,.00247072914394629,.171843929736305,.000116141112199244,-.00362944720416756,.116165651618924,.000116196303996905,-.00359037586918857,.127570163682439
10252,5,5.82608827916336,4.54631654921809,-.689576952514627,-.547747197957432,-.546728360714025,-.00800164569073653,.254483145855439,-.0321318130798699,2.9454543365895,.00483719291477228,.0980279481150505,-.00316445277596425,.35251109397049,.000132168167099615,-.00414396210575653,.132665510167099,.000132731480384646,-.00418641443246555,.148598560248399
10253,2,-1E+036,-1E+036,.000243419311861858,-1E+036,-1E+036,.0128906693258392,-.403275182443108,.0443695456489417,-1.65315043764874,.00483719291477228,.0980279481150505,.0177278622406114,-.305247234328057,.000164034202275867,-.00513453433607564,.163461614474392,.000166421709910265,-.00519484673316726,.178779924158555
10256,4,4.8717888772411,2.41715125022805,-.547228742832674,-.345497464258285,-.345217792862464,-.00915655220006927,.287692493684258,-.0435821528558351,2.53439704399268,.00483719291477228,.0980279481150505,-.00431935928529699,.385720441799308,.000159029475885139,-.00498696812865036,.159121785199415,.00016092328612472,-.00507993996976799,.176911843650082
